Title,Author,Rating,Number of Reviews,Publication Date,Format,Amazon Link,Category,Description,Players Mentioned,Teams Mentioned,Topics
The Boston Globe Story of the Celtics: 1946-Present,The Boston Globe,4.5,100+,October 17 2017,Hardcover,https://www.amazon.com/Boston-Globe-Story-Celtics-1946-Present/dp/1629374423,Team History,The inside stories and acclaimed reporting on the NBA's banner franchise.,N/A,Celtics; Boston,Biography; History; Business
Return of the King: LeBron James the Cleveland Cavaliers and the Greatest Comeback,Brian Windhorst,4.5,400+,October 25 2016,Hardcover/Paperback,https://www.amazon.com/Return-King-LeBron-Cleveland-Cavaliers/dp/1478972327,Team History,The story of LeBron's return to Cleveland and the historic 2016 championship comeback.,LeBron James,Cavaliers; Cleveland,Biography; History; Championship
Hang Time: My Life in Basketball,Elgin Baylor,4.6,250+,April 10 2018,Hardcover/Paperback,https://www.amazon.com/Hang-Time-Life-Basketball-Baylor/dp/0544617010,Player Biography/Autobiography,Elgin Baylor's autobiography covering his groundbreaking NBA career and civil rights advocacy.,N/A,N/A,Biography; Championship
My Life,Magic Johnson,4.3,300+,November 7 1992,Hardcover/Paperback,https://www.amazon.com/My-Life-Magic-Johnson/dp/0449906582,Player Biography/Autobiography,Magic Johnson's autobiography covering his legendary career and HIV diagnosis.,Magic Johnson,Magic,Biography; Championship
Giant: The Road to the Super Bowl,Kareem Abdul-Jabbar,4.4,150+,September 12 2017,Paperback,https://www.amazon.com/Giant-Road-Super-Bowl-Kareem/dp/1524718165,Player Biography,Kareem Abdul-Jabbar explores his career and activism in this memoir.,Kareem Abdul-Jabbar,N/A,Biography
Caitlin Clark: Basketball Dreams Come True,Winning Women Athletes,4.5,100+,2024,Paperback,https://www.amazon.com/Caitlin-Clark-Basketball-Dreams-True/dp/B0CWWJM8GT,Women's Basketball,Inspiring biography of Caitlin Clark for young readers.,N/A,N/A,Biography; Championship; Kids
Tales from the Duke Blue Devils Locker Room,Tales from the Team,4.4,200+,September 15 2017,Hardcover,https://www.amazon.com/Tales-Duke-Blue-Devils-Locker/dp/1683580877,College Basketball,A collection of the greatest Duke basketball stories ever told.,N/A,N/A,College Basketball
Basketball Facts for Kids,Various,4.5,100+,2024,Paperback,https://www.amazon.com/Basketball-Facts-Kids-Ultimate-Guide/dp/B0DQB1RB8W,Youth/Reference,The ultimate guide to NBA history superstar players game-changing rules and fun games.,N/A,N/A,Biography; History; Kids
Unbelievable Basketball Legends Stories for Kids,Various,4.6,150+,2023,Paperback,https://www.amazon.com/Unbelievable-Basketball-Legends-Stories-Kids/dp/B0CCQ81YDC,Youth Biography,Inspiring true tales with facts and trivia for young readers sports fans.,N/A,N/A,Biography; Championship; Kids
The Most Incredible Basketball Stories Ever Told,Various,4.6,200+,2023,Paperback,https://www.amazon.com/Most-Incredible-Basketball-Stories-Ever/dp/B0BWGZNQM5,NBA History/Youth,Inspirational and legendary tales from the greatest basketball players and games of all time.,N/A,N/A,Biography; History
The Most Epic Basketball Stories for Kids,W. Bo Cricklewood,4.5,150+,2023,Paperback,https://www.amazon.com/Most-Epic-Basketball-Stories-Kids/dp/B0CD7MHRG4,Youth Biography,Inspiring young athletes with fun and adventure to boost confidence and team spirit.,N/A,N/A,Biography; Championship; Kids
101 Crazy Basketball Facts for Kids,Various,4.6,200+,2023,Paperback,https://www.amazon.com/Crazy-Basketball-Facts-Kids-Amazing/dp/B0BYB5VGV7,Youth/Reference,Amazing facts and inspirational stories - the ultimate basketball book for kids 8-12.,N/A,N/A,Kids
Life Is Not an Accident: A Memoir of Reinvention,Jay Williams,4.5,500+,January 12 2016,Hardcover/Paperback,https://www.amazon.com/Life-Not-Accident-Memoir-Reinvention/dp/006239435X,Player Biography/Autobiography,Jay Williams recounts his recovery from a career-ending motorcycle accident and subsequent reinvention.,N/A,N/A,Biography
Basketball's Game Changers: Icons Legends and All-Time Greats,Elliott Smith,4.4,50+,September 1 2017,Hardcover,https://www.amazon.com/Basketballs-Game-Changers-Legends-All-Time/dp/1493028812,NBA History,Profiles of basketball's most influential players coaches and moments.,N/A,N/A,Biography; History; Coaching
Sum It Up: A Thousand and Ninety-Eight Victories a Couple of Irrelevant Losses,Pat Summitt,4.7,1200+,March 5 2013,Hardcover/Paperback,https://www.amazon.com/Sum-Thousand-Ninety-Eight-Victories-Irrelevant/dp/030795265X,Women's Basketball,Legendary Tennessee Lady Vols coach Pat Summitt shares her remarkable story.,N/A,N/A,Biography; Coaching
Yao: A Life in Two Worlds,Yao Ming,4.3,200+,September 14 2004,Hardcover/Paperback,https://www.amazon.com/Yao-Life-Two-Worlds-Ming/dp/1401359493,Player Biography/Autobiography,Yao Ming's autobiography covering his journey from China to NBA stardom.,N/A,N/A,Biography; Championship; International
Basketball: A Love Story,Jackie MacMullan,4.7,300+,September 4 2018,Hardcover/Paperback,https://www.amazon.com/Basketball-Love-Story-Jackie-MacMullan/dp/1524761826,NBA History,Based on the ESPN documentary series - an oral history of basketball.,N/A,N/A,Biography; History
Don't Put Me In Coach,Mark Titus,4.0,5400+,March 13 2012,Hardcover/Paperback,https://www.amazon.com/Dont-Put-Me-Coach-Incredible/dp/0385535228,College Basketball/Humor,An irreverent hilarious insider's look at NCAA basketball from the nation's most famous benchwarmer.,N/A,N/A,Coaching
The Capital of Basketball: A History of DC Area High School Hoops,John McNamara,4.3,50+,October 1 2019,Hardcover,https://www.amazon.com/Capital-Basketball-History-Area-School/dp/1626167346,High School Basketball,The history of DC area high school basketball which has produced numerous NBA players.,N/A,N/A,Biography; History
Can't Knock the Hustle: Inside the Season of Protest Pandemic and Progress with the Brooklyn Nets,Matt Sullivan,3.5,310+,May 4 2021,Hardcover/Paperback,https://www.amazon.com/Cant-Knock-Hustle-Protest-Pandemic/dp/0062998137,Team History,A historic chronicle of basketball and social justice during the 2020 season.,N/A,Nets; Brooklyn,Biography; History; Championship
Playing for Keeps: Michael Jordan and the World He Made,David Halberstam,4.2,500+,January 19 1999,Hardcover/Paperback,https://www.amazon.com/Playing-Keeps-Michael-Jordan-World/dp/0767904443,Player Biography,David Halberstam's exploration of Michael Jordan and his cultural impact.,Michael Jordan,N/A,Biography; International
The Victory Machine: The Making and Unmaking of the Warriors Dynasty,Ethan Sherwood Strauss,3.7,1700+,June 30 2020,Hardcover/Paperback,https://www.amazon.com/Victory-Machine-Making-Unmaking-Warriors/dp/1541736184,Team History,The inside story of the Golden State Warriors dynasty from a longtime beat reporter.,N/A,Warriors,Biography; History
Not a Game: The Incredible Rise and Unthinkable Fall of Allen Iverson,Kent Babb,3.9,950+,March 31 2015,Hardcover/Paperback,https://www.amazon.com/Not-Game-Incredible-Unthinkable-Iverson/dp/1476778965,Player Biography,The story of Allen Iverson's incredible rise and troubled legacy.,Allen Iverson,N/A,Biography
Things I Learn While Falling,A'ja Wilson,4.8,50+,2024,Hardcover,https://www.amazon.com/Things-Learn-While-Falling-Wilson/dp/0063323818,Women's Basketball,A'ja Wilson's memoir on basketball life and personal growth.,N/A,N/A,Biography
Where Do I Put the Ball,Derek Fisher,4.4,100+,2009,Hardcover,https://www.amazon.com/Where-Put-Ball-Derek-Fisher/dp/1439103127,Player Biography/Instructional,Derek Fisher shares basketball wisdom and life lessons.,N/A,N/A,Biography
Raised By the Game: A Love Story of Basketball,Pat Croce,4.3,50+,2008,Hardcover,https://www.amazon.com/Raised-Game-Love-Story-Basketball/dp/0399154884,Basketball Culture,Pat Croce's love letter to the game of basketball.,N/A,N/A,Biography; Culture
Forty Million Dollar Slaves,William C. Rhoden,4.5,250+,September 5 2006,Hardcover/Paperback,https://www.amazon.com/Forty-Million-Dollar-Slaves-Athletic/dp/0307353141,Sports/Culture,The rise fall and redemption of the Black athlete - examining race in professional sports.,N/A,N/A,Culture
Basketball for Kids: A Complete Illustrated Guide,Various,4.5,150+,2022,Paperback,https://www.amazon.com/Basketball-Kids-Complete-Illustrated-Guide/dp/B09YLZ5VBL,Youth/Instructional,Complete guide to basketball fundamentals for young players.,N/A,N/A,Training; Kids
The Art of a Beautiful Game: The Thinking Fan's Tour of the NBA,Chris Ballard,4.3,150+,January 5 2010,Hardcover/Paperback,https://www.amazon.com/Art-Beautiful-Game-Thinking-Fans/dp/1439110220,NBA Culture,A thoughtful exploration of basketball artistry and strategy.,N/A,N/A,Coaching; Culture
FreeDarko Presents: The Macrophenomenal Pro Basketball Almanac,Bethlehem Shoals,4.1,100+,November 4 2008,Hardcover,https://www.amazon.com/FreeDarko-Presents-Macrophenomenal-Basketball-Almanac/dp/1596914769,NBA Culture,An innovative illustrated guide to the NBA's biggest stars.,N/A,N/A,Culture
The Book of Basketball 2.0 Podcast Companion,Bill Simmons,N/A,N/A,2019,Podcast,https://www.theringer.com/book-of-basketball-2-0,NBA History,Sequel podcast series analyzing the evolution of the NBA since the original book.,N/A,N/A,Biography; History
The NBA: A History of Hoops Series,Various Publishers,4.5,500+ (series),Ongoing,Hardcover/Paperback,https://www.amazon.com/NBA-History-Hoops/s?k=NBA+History+Hoops,Team History (Series),Series of books covering individual NBA team histories.,N/A,N/A,Biography; History; Championship
Bounce: The Science of Playing Great Basketball,Matthew Syed,4.3,200+,2010,Hardcover/Paperback,https://www.amazon.com/Bounce-Talent-What-Makes-Us/dp/0061723762,Sports Science,Explores the science of talent and practice in sports including basketball.,N/A,N/A,Sports Science
Sneaker Wars,Sneaker Freaker,4.6,800+,2013,Hardcover,https://www.amazon.com/Sneaker-Freaker-Ultimate-Sneaker-Book/dp/3836592118,Basketball Culture,The ultimate sneaker book covering basketball shoe culture and history.,N/A,N/A,Biography; History; Culture; Championship
The Inside Game: Bad Calls Bizarre Plays and Brawls,Tim Donaghy,4.0,700+,December 1 2009,Hardcover/Paperback,https://www.amazon.com/Inside-Game-Race-Scandal-Illegal/dp/1419681028,NBA Controversy,The controversial account from the former NBA referee involved in the betting scandal.,N/A,N/A,Scandal
Tinderbox: HBO's Ruthless Pursuit of New Frontiers,James Andrew Miller,4.4,500+,November 23 2021,Hardcover/Paperback,https://www.amazon.com/Tinderbox-HBOs-Ruthless-Pursuit-Frontiers/dp/1250624533,Media/Entertainment,Includes coverage of HBO's sports documentary work including NBA content.,N/A,N/A,History
Basketball Diaries,Jim Carroll,4.0,3000+,1978,Paperback,https://www.amazon.com/Basketball-Diaries-Jim-Carroll/dp/0140100180,Memoir/Literature,Classic memoir of a young basketball player's descent into drug addiction in 1960s New York.,N/A,New York,Biography; History
A Season on the Brink,John Feinstein,4.2,1000+,1986,Paperback,https://www.amazon.com/Season-Brink-Year-Bob-Knight/dp/0671688774,College Basketball,A year with Bob Knight and the Indiana Hoosiers - landmark sports journalism.,N/A,Indiana,College Basketball
The Last Shot,Darcy Frey,4.4,350+,1994,Paperback,https://www.amazon.com/Last-Shot-City-Streets-Basketball/dp/0395797098,Basketball Culture,The hope and struggle of four promising basketball players in Coney Island.,N/A,N/A,Culture
Tigerland: 1968-1969 A City Divided a Nation Torn Apart and a Magical Season of Healing,Wil Haygood,4.6,150+,March 13 2018,Hardcover/Paperback,https://www.amazon.com/Tigerland-Divided-Nation-Magical-Healing/dp/0307462897,High School Basketball,The incredible true story of East High School's championship season in 1968-69.,N/A,Magic,Biography; Championship
Coach K: Building the Duke Dynasty,John Feinstein,4.3,200+,2023,Hardcover,https://www.amazon.com/Coach-K-Building-Duke-Dynasty/dp/1538723468,College Basketball,The definitive biography of legendary Duke coach Mike Krzyzewski.,N/A,N/A,Biography; History; Coaching
Leading with the Heart,Mike Krzyzewski,4.5,400+,2000,Hardcover/Paperback,https://www.amazon.com/Leading-Heart-Coach-Successful-Basketball/dp/0446676780,Coaching/Leadership,Coach K's insights on leadership teamwork and motivation.,N/A,N/A,Coaching
The Color of Basketball,Nelson George,4.2,150+,1992,Paperback,https://www.amazon.com/Elevating-Game-Black-Basketball-America/dp/0803270542,Basketball Culture,How African Americans transformed basketball and American culture.,N/A,N/A,Culture
Dr. J: The Autobiography,Julius Erving,4.5,350+,October 21 2013,Hardcover/Paperback,https://www.amazon.com/Dr-J-Autobiography-Julius-Erving/dp/0062248189,Player Biography/Autobiography,Julius Erving's candid autobiography covering his legendary career.,Julius Erving,N/A,Biography; Championship
Darkness to Light,Lamar Odom,4.2,500+,May 28 2019,Hardcover/Paperback,https://www.amazon.com/Darkness-Light-Lamar-Odom/dp/1948836068,Player Biography/Autobiography,Lamar Odom shares his story of addiction fame and recovery.,N/A,N/A,Biography
Rebound: Soaring in the NBA Bouncing Back from Drugs and Devastation,Donn Nelson,4.3,100+,1997,Paperback,https://www.amazon.com/Rebound-Soaring-Bouncing-Drugs-Devastation/dp/1882180259,Basketball/Recovery,A story of basketball and overcoming addiction.,N/A,N/A,Biography; Championship
Basketball in America: From the Playgrounds to Jordan's Game,Bob Batchelor,4.0,50+,2005,Paperback,https://www.amazon.com/Basketball-America-Playgrounds-Jordans-Beyond/dp/0789024861,Basketball Culture,Cultural history of basketball in America.,N/A,N/A,Biography; History; Culture
NBA Street: True Tales from the Street,Various,4.2,100+,2003,Paperback,https://www.amazon.com/NBA-Street-True-Tales-From/dp/0743462181,Basketball Culture,True stories from streetball and the NBA.,N/A,N/A,Culture
Full Court Press: How Pat Summitt the Tennessee Lady Vols and Title IX Changed Women's Basketball Forever,Mechelle Voepel,4.6,100+,2020,Hardcover,https://www.amazon.com/Full-Court-Press-Summitt-Tennessee/dp/1496225503,Women's Basketball,How Pat Summitt and Title IX transformed women's basketball.,N/A,N/A,Championship
Astonish Me: A Novel,Maggie Shipstead,4.0,1000+,2014,Hardcover/Paperback,https://www.amazon.com/Astonish-Me-Novel-Maggie-Shipstead/dp/0345804686,Fiction,Novel involving ballet and basketball worlds.,N/A,N/A,International
The Rise of Basketball: From Peach Baskets to Global Phenomenon,Various,4.3,50+,2020,Paperback,https://www.amazon.com/Rise-Basketball-Peach-Baskets-Global/dp/B08GKZXQZ2,NBA History,History of basketball from invention to global sport.,N/A,N/A,Biography; History; International
Hoops Nation: A Guide to America's Best Pickup Basketball,Chris Ballard,4.1,100+,1998,Paperback,https://www.amazon.com/Hoops-Nation-Guide-Americas-Basketball/dp/0805058400,Basketball Culture,A guide to the best pickup basketball locations in America.,N/A,N/A,Culture
Personal Foul,Tim Donaghy,3.8,500+,2009,Hardcover,https://www.amazon.com/Personal-Foul-First-Person-Account-Scandal/dp/0615319947,NBA Controversy,First-person account of the NBA betting scandal.,N/A,N/A,Scandal
Got Next: A Story of a Girl Who Stood Up,Debbie Allen,4.7,100+,2022,Hardcover,https://www.amazon.com/Got-Next-Story-Girl-Stood/dp/006288885X,Youth/Fiction,Inspiring story about a girl's basketball dreams.,N/A,N/A,Biography; Championship
Hornet's Nest: Inside Basketball's Newest Franchise,Hugo Lindgren,4.0,50+,1989,Paperback,https://www.amazon.com/Hornets-Nest-Inside-Basketballs-Franchise/dp/0671683012,Team History,The story of the Charlotte Hornets' founding.,N/A,Nets; Hornets; Charlotte,Biography; History; Business
Basketball Jones: America Above the Rim,Todd Boyd,4.1,50+,2000,Paperback,https://www.amazon.com/Basketball-Jones-America-Above-Rim/dp/0814713254,Basketball Culture,Cultural analysis of basketball's place in American society.,N/A,N/A,Culture
SportsCentury: 50 Greatest Athletes,Various,4.3,100+,1999,Hardcover,https://www.amazon.com/SportsCentury-50-Greatest-Athletes/dp/078686680X,Sports History,ESPN's ranking of the 50 greatest athletes including basketball legends.,N/A,N/A,Biography; History
Tim Duncan: The Inspiring Story of Basketball's Greatest Power Forward,Clayton Geoffreys,4.5,200+,June 1 2014,Paperback/Kindle,https://www.amazon.com/Tim-Duncan-Inspiring-Basketballs-Basketball-ebook/dp/B00JS8VZKO,Player Biography,Biography of Tim Duncan covering his journey from swimming prospect to NBA legend with the Spurs.,Tim Duncan,Spurs,Biography; Championship; Draft
Dirk Nowitzki: The Inspiring Story of One of Basketball's Best European Stars,Clayton Geoffreys,4.5,180+,February 22 2016,Paperback/Kindle,https://www.amazon.com/Dirk-Nowitzki-Inspiring-Basketballs-Basketball/dp/1530073723,Player Biography,Chronicles Dirk Nowitzki's incredible journey from Germany to becoming an NBA champion and legend.,Dirk Nowitzki,N/A,Biography; Championship; International
Dwyane Wade: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.5,150+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Dwyane-Wade-Inspiring-Basketballs-Basketball/dp/B00UMWL0HS,Player Biography,Biography of Dwyane Wade from Marquette to Miami Heat championships.,Dwyane Wade,Heat; Miami,Biography; Championship
Chris Paul: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.5,100+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Chris-Paul-Inspiring-Basketballs-Basketball/dp/B00UMWKWXQ,Player Biography,Chronicles Chris Paul's journey to becoming one of the NBA's elite point guards.,Chris Paul,N/A,Biography; Championship
Russell Westbrook: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.4,150+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Russell-Westbrook-Inspiring-Basketballs-Basketball/dp/B00UMWL0G4,Player Biography,Biography covering Westbrook's explosive rise and MVP season.,Russell Westbrook,N/A,Biography; Championship
James Harden: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.4,130+,February 28 2015,Paperback/Kindle,https://www.amazon.com/James-Harden-Inspiring-Basketballs-Basketball/dp/B00UMWL0GE,Player Biography,Chronicles James Harden's journey from OKC sixth man to Houston superstar.,James Harden,Houston,Biography; Championship
Kawhi Leonard: The Inspiring Story of One of Basketball's Best All-Around Players,Clayton Geoffreys,4.5,120+,March 15 2019,Paperback/Kindle,https://www.amazon.com/Kawhi-Leonard-Inspiring-Basketballs-Basketball/dp/B07PVYBNK1,Player Biography,Biography of Kawhi Leonard the quiet superstar and Finals MVP.,Kawhi Leonard,N/A,Biography; Championship
Paul George: The Inspiring Story of One of Basketball's Most Dynamic Small Forwards,Clayton Geoffreys,4.4,90+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Paul-George-Inspiring-Basketballs-Basketball/dp/B00UMWL0FU,Player Biography,Chronicles Paul George's career including his incredible comeback from injury.,Paul George,N/A,Biography; Championship
Victor Wembanyama: The Inspiring Story of One of Basketball's Star Centers,Clayton Geoffreys,4.5,100+,2024,Paperback/Kindle,https://www.amazon.com/Victor-Wembanyama-Inspiring-Basketballs-Basketball/dp/B0CQHG58DT,Player Biography,Biography of the generational talent Victor Wembanyama.,Victor Wembanyama,N/A,Biography; History; Championship
Devin Booker: The Inspiring Story of One of Basketball's Rising Shooting Guards,Clayton Geoffreys,4.5,80+,2022,Paperback/Kindle,https://www.amazon.com/Devin-Booker-Inspiring-Basketballs-Basketball/dp/B09XJGBXK6,Player Biography,Chronicles Devin Booker's rise as a Phoenix Suns superstar.,Devin Booker,Suns; Phoenix,Biography; Championship
Trae Young: The Inspiring Story of One of Basketball's Star Point Guards,Clayton Geoffreys,4.5,70+,2022,Paperback/Kindle,https://www.amazon.com/Trae-Young-Inspiring-Basketballs-Basketball/dp/B09XJGB1YN,Player Biography,Biography of Trae Young the electrifying Atlanta Hawks star.,Trae Young,Hawks; Atlanta,Biography; Championship
Zion Williamson: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,90+,2020,Paperback/Kindle,https://www.amazon.com/Zion-Williamson-Inspiring-Basketballs-Basketball/dp/B0841DXNL7,Player Biography,Chronicles Zion Williamson's meteoric rise from Duke to the NBA.,Zion Williamson,N/A,Biography; Championship
Damian Lillard: The Inspiring Story of One of Basketball's All-Star Point Guards,Clayton Geoffreys,4.5,100+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Damian-Lillard-Inspiring-Basketballs-Basketball/dp/B00UMWL0EQ,Player Biography,Biography of Dame Lillard and his clutch performances.,Damian Lillard,N/A,Biography; Championship
Nikola Jokic: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,150+,2021,Paperback/Kindle,https://www.amazon.com/Nikola-Jokic-Inspiring-Basketballs-Basketball/dp/B08ZBZ8CTR,Player Biography,Chronicles Nikola Jokic's journey from second-round pick to MVP.,Nikola Jokic,N/A,Biography; Championship
Joel Embiid: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,100+,2019,Paperback/Kindle,https://www.amazon.com/Joel-Embiid-Inspiring-Basketballs-Basketball/dp/B07PWYFDVK,Player Biography,Biography of Joel Embiid the Process and MVP center.,Joel Embiid,N/A,Biography; Championship
Jimmy Butler: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,90+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Jimmy-Butler-Inspiring-Basketballs-Basketball/dp/B00UMWL0DW,Player Biography,Chronicles Jimmy Butler's incredible underdog story.,Jimmy Butler,N/A,Biography; Championship
Carmelo Anthony: The Inspiring Story of One of Basketball's Greatest Small Forwards,Clayton Geoffreys,4.4,100+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Carmelo-Anthony-Inspiring-Basketballs-Basketball/dp/B00UMWL0CY,Player Biography,Biography of Carmelo Anthony one of the NBA's greatest scorers.,Carmelo Anthony,N/A,Biography; Championship
Where Tomorrows Aren't Promised,Carmelo Anthony,4.6,300+,September 14 2021,Hardcover,https://www.amazon.com/Where-Tomorrows-Arent-Promised-Memoir/dp/1982160853,Player Biography/Autobiography,Carmelo Anthony's memoir focusing on his tumultuous upbringing in Baltimore and New York.,Carmelo Anthony,New York,Biography; Championship
Blake Griffin: The Inspiring Story of One of Basketball's Most Dynamic Power Forwards,Clayton Geoffreys,4.4,80+,February 28 2015,Paperback/Kindle,https://www.amazon.com/Blake-Griffin-Inspiring-Basketballs-Basketball/dp/B00UMWL0BS,Player Biography,Biography of Blake Griffin from Lob City to NBA journeyman.,Blake Griffin,N/A,Biography; Championship
John Wall: The Inspiring Story of One of Basketball's Fastest Point Guards,Clayton Geoffreys,4.4,70+,February 28 2015,Paperback/Kindle,https://www.amazon.com/John-Wall-Inspiring-Basketballs-Basketball/dp/B00UMWL0AO,Player Biography,Chronicles John Wall's career from Kentucky to Washington.,N/A,Washington,Biography; Championship
DeMar DeRozan: The Inspiring Story of One of Basketball's Star Guards,Clayton Geoffreys,4.4,60+,2020,Paperback/Kindle,https://www.amazon.com/DeMar-DeRozan-Inspiring-Basketballs-Basketball/dp/B08W3T9VPR,Player Biography,Biography of DeMar DeRozan and his mental health advocacy.,N/A,N/A,Biography; Championship
Can I Keep My Jersey?: 11 Teams 5 Countries and 4 Years in My Life as a Basketball Vagabond,Paul Shirley,3.8,3500+,March 6 2007,Hardcover/Paperback,https://www.amazon.com/Can-Keep-My-Jersey-Basketball/dp/0812974174,Player Memoir,Hilarious account of life on the fringes of professional basketball.,N/A,N/A,Biography; History; Championship
A Shot at History: My Obsessive Journey to Olympic Gold,Abhinav Bindra,4.4,250+,2011,Hardcover,https://www.amazon.com/Shot-History-Obsessive-Journey-Olympic/dp/0670085553,Sports Biography,Olympic champion's memoir touching on basketball and sports excellence.,N/A,N/A,Biography; History; Championship
The Big O: My Life My Times My Game,Oscar Robertson,4.5,200+,October 5 2003,Hardcover/Paperback,https://www.amazon.com/Big-Life-Times-Game/dp/157243574X,Player Biography/Autobiography,Oscar Robertson's autobiography covering his legendary career and civil rights activism.,Oscar Robertson,N/A,Biography; Championship
I May Be Wrong But I Doubt It,Charles Barkley,4.3,350+,October 1 2002,Hardcover/Paperback,https://www.amazon.com/May-Be-Wrong-But-Doubt/dp/0812966287,Player Commentary,Charles Barkley's outspoken takes on basketball sports and society.,Charles Barkley,N/A,Player Commentary
Who's Afraid of a Large Black Man?,Charles Barkley,4.3,200+,May 31 2005,Hardcover/Paperback,https://www.amazon.com/Whos-Afraid-Large-Black-Man/dp/1594200556,Sports/Society,Charles Barkley explores race relations in America.,Charles Barkley,N/A,Sports/Society
Outrageous!: The Fine Life and Flagrant Good Times of Basketball's Irresistible Force,Charles Barkley,4.1,150+,September 1 1992,Paperback,https://www.amazon.com/Outrageous-Flagrant-Basketballs-Irresistible-Force/dp/0380721600,Player Biography/Autobiography,Charles Barkley's first autobiography from his playing days.,Charles Barkley,N/A,Biography
Becoming Kareem: Growing Up On and Off the Court,Kareem Abdul-Jabbar,4.6,350+,November 14 2017,Hardcover,https://www.amazon.com/Becoming-Kareem-Growing-Off-Court/dp/0316555398,Player Biography,Kareem's memoir for young readers about his journey to greatness.,Kareem Abdul-Jabbar,N/A,Biography; Kids
Giant Steps,Kareem Abdul-Jabbar,4.3,150+,November 1983,Paperback,https://www.amazon.com/Giant-Steps-Autobiography-Kareem-Abdul-Jabbar/dp/0553050443,Player Biography/Autobiography,Kareem Abdul-Jabbar's autobiography covering his legendary career.,Kareem Abdul-Jabbar,N/A,Biography; Championship
On the Shoulders of Giants: My Journey Through the Harlem Renaissance,Kareem Abdul-Jabbar,4.4,200+,February 20 2007,Hardcover/Paperback,https://www.amazon.com/Shoulders-Giants-Journey-Through-Renaissance/dp/1416534881,Culture/History,Kareem explores the Harlem Renaissance and its impact on basketball culture.,Kareem Abdul-Jabbar,N/A,Biography; History; Culture
Writings on the Wall: Searching for a New Equality Beyond Black and White,Kareem Abdul-Jabbar,4.3,100+,August 16 2016,Hardcover/Paperback,https://www.amazon.com/Writings-Wall-Searching-Equality-Beyond/dp/1618931709,Sports/Society,Kareem's essays on race equality and social justice.,Kareem Abdul-Jabbar,N/A,Sports/Society
Reggie Miller: From Downtown!,Mark Stewart,4.2,50+,2006,Paperback,https://www.amazon.com/Reggie-Miller-Downtown-Basketball/dp/076134456X,Player Biography,Biography of Reggie Miller the clutch shooter and Pacer legend.,Reggie Miller,N/A,Biography
I Love Being the Enemy,Reggie Miller,4.2,100+,September 8 1996,Paperback,https://www.amazon.com/Love-Being-Enemy-Story-Basketball/dp/0684848457,Player Biography/Autobiography,Reggie Miller's autobiography about being basketball's ultimate villain.,Reggie Miller,N/A,Biography
Clyde: My Life In and Around the Game,Walt Frazier,4.4,80+,October 1988,Hardcover,https://www.amazon.com/Clyde-My-Life-Around-Game/dp/044651576X,Player Biography/Autobiography,Walt Frazier's autobiography covering his championship Knicks career.,Walt Frazier,Knicks,Biography; Championship
The Game Within the Game,Walt Frazier,4.3,60+,May 13 2006,Hardcover/Paperback,https://www.amazon.com/Game-Within-Walt-Frazier/dp/0786889683,Player Commentary/Analysis,Walt Frazier analyzes the game and great players.,Walt Frazier,N/A,Player Commentary/Analysis
Personal Fouls,Peter Golenbock,3.8,200+,January 1 1989,Paperback,https://www.amazon.com/Personal-Fouls-Broken-Promises-Players/dp/0451402502,College Basketball,Exposé of college basketball corruption at NC State under Jim Valvano.,N/A,N/A,Scandal
They Call Me Coach,John Wooden,4.6,500+,November 1 2003,Paperback,https://www.amazon.com/They-Call-Me-Coach-John/dp/0071424911,Coaching,John Wooden's autobiography and coaching philosophy.,John Wooden,N/A,Biography; Coaching
Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden,4.7,800+,April 1 1997,Hardcover/Paperback,https://www.amazon.com/Wooden-Lifetime-Observations-Reflections-Court/dp/0809230410,Coaching/Leadership,John Wooden's reflections on life and basketball.,John Wooden,N/A,Biography; Coaching
A Game of Character: A Family Journey from Chicago's Southside to the Ivy League and Beyond,Craig Robinson,4.4,150+,April 6 2010,Hardcover/Paperback,https://www.amazon.com/Game-Character-Family-Chicago-Southside/dp/1592405681,Sports Memoir,Michelle Obama's brother Craig Robinson's basketball memoir.,N/A,Chicago,Biography
The Last Season: A Team in Search of Their Soul,Phil Jackson,4.2,300+,October 19 2004,Hardcover/Paperback,https://www.amazon.com/Last-Season-Team-Search-Their/dp/1594200149,Coaching,Phil Jackson chronicles his final season with the Lakers.,Phil Jackson,Lakers,Coaching
